comment,label
turns out consuming too much bullshit is bad for your kidneys,1
and where is drumpf golfing,1
thats a satirical piece read dont assume,1
its probably why they took them in the first place pawns,1
it was false tg … thenewslo,1
lies breitbart seeks to divide our people xenophobia hatred of people unlike you is fuel for fascism,1
take your pick wind blown down power lines drug cartel pot farmers sociopath arsonist or we still dont know,1
are we on iq84 now,1
so so about you very hot summer tt,1
play stupid games win stupid prizes the free market always wins,1
wrong as usual do your homework,1
can i use the c word yet,1
q anon is doing a q a this saturday mhairead time tba,1
maybe along the dog run outside,1
hes a joke in highest,1
we will always remember your making desert storm a global word,1
allahumma ameen all praise be to allah for keeping us alive,1
atoms are too large to fabricate a violin small enough,1
these people will swallow anything as long as its not realitybased jfc,1
this is why we all need to carefully research these stories its sad isnt it,1
might want to corroborate that i cant,1
apples and oranges you see what i did there,1
absolutely we the people must make america great again,1
thenewslo maybe sew on pink triangles,1
sototg sejehh your too nice,1
its not even that ive tried it on multiple phones and its just continued to do the same thing,1
so its going to get used even less,1
shutting down as it is folded into cnns app,1
stopsuckinnme right idk whats going on,1
melw im not stressin its prob gonna start working later today,1
stopsuckinnme my stuff not loading,1
frenchnm1 lboss8 huskeynl djcameo thats what im talking about thejunction13 awakerec international,1
big amen to that its about time,1
carrienswain is the team that bad lol,1
saltyruns that is what i was thinking,1
some things should be taken to the grave,1
donaldpirl pretty sure thats fake,1
i deleted that tweet that cant be true,1
theerkj i wouldnt say credible lol,1
how about a quran book burning,1
wtf the crazies just keep getting crazier,1
we need to find them and get them out,1
oh this barely scratches the surface of this,1
13abc how many were sjot,1
does potus have 2 water glasses,0
alexyudelson will this be on all major networks or cnn,0
beargrylls barackobama like seriously so cool im jealous,0
agreed loving it that they are losing money,0
point being from the original post was that gas is higher now than it was two years ago,0
hey guys my tolerance for this crap is at a limit so,0
low testosterone can do that,0
this is not normal is not fiery headline writers really need to focus,0
willlainson thebaxterbean actually neither it is actually the consumer,0
or from murdochs convention that newscorpse journos can just make up whatever bullshit they feel like wanking,0
the more you know the more you dislike,0
and thats the reason it occursgovernment doesnt think about ittheyre the religion of peace,0
medium scumbag mislim cock hound go to prison,0
medium she wont make it to november,0
thats the end of nato,0
which treaty is he talking about,0
take advantage and block morons all in one place,0
donnabrazile the whole thing absolutely silly,0
donnabrazile randy ran is nuts,0
flibbertegibet wsj thats a really overly kind statement,0
nytimes should of had a litter box there,0
nytimes voting for bernie the witch will lose,0
she was an immigrant and thus okay to also refer to as filipina right,0
nytpolitics the clintons are so use to this,0
nytpolitics sounds like hamrove is on the job,0
findaddy81 i’ll volunteer but no one will listen to me maybe you should do it,0
no surprises here w heller,0
i am saying literally why he isnt as popular no one wants to see a nigga always in some drama,0
butttt it would really benefit the sixers to be 2021,0
celtics could get memphis 2021 pick if it keeps pushing off due to protections,0
has anybody traded away their 2021 first round pick besides miami,0
hey brett my dad isn’t a rapey dickface many dads are not rapey dickfaces,0
q said this is fake news,0
this feels like a test a test of the leak broadcast system,0
the wider lens is good but bring in state and intel,0
average where are the gains occurring,0
for some of the rest of the story,0
will he still be available,0
deg109 ya and send them out there with water pistols guy is a complete tool,0
todayshow cheneys liberator manifesto on meetthepress what a waste of our troops for this oil tycoon s pocket,0
fesman70 nope smoke and mirrors,0
fyi potus vp cant help but notice a few of these left off the list,0
abcpolitics but not from 5 countries where realdonaldtrump has businessesnot them,0
abcpolitics we didnt have one before,0
abc people keep misrepresentating this as only muslims when everyone christianjewother will be included,0
michaelcoleman ooh love the new picture,0
voxdotcom print it out on continuous paper oil yourself and roll around in it,0
i would this 10 times if i could,0
another history teacher giving opinion instead of teaching facts,0
if you can fill the unforgiving minute with sixty seconds worth of distance run sumairakh,0
low testosterone can do that,0
this is not normal is not fiery headline writers really need to focus,0
